SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEA002189,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  027攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05017747,121.5107975,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.027 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002190,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  S30-1攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05018458,121.5109456,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.S30-1 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002191,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  33攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05018458,121.5109456,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.033 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002192,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  34攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05008147,121.5109221,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.034 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002193,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場4中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05008147,121.5109221,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square4 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002194,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  43攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05001746,121.5111615,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.043 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002195,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  41攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04990012,121.5115893,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.041 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002196,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  53攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04974011,121.5120603,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.053 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002197,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  54攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05007435,121.5114519,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.054 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002198,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場5中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04994279,121.5117149,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square5 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
