country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type
高雄市,鳳山區,國光里,E120000205,高雄市稅捐稽徵處1樓右側無障礙廁所(北鳳山區),鳳山市國泰路二段136號,其他,22.62047600000000000,120.34794800000000000,特優級,無障礙廁所,公家機關設置供民眾使用者
高雄市,鳳山區,國光里,E120000202,高雄市稅捐稽徵處1F左側男廁(北鳳山區),鳳山市國泰路二段136號,縣市政府,22.62047600000000000,120.34794800000000000,特優級,男廁所,公家機關設置供民眾使用者
高雄市,鳳山區,新興里,E120000110,鳳山區衛生所男廁(北鳳山區),鳳山市經武路34巷2號,縣市政府,22.62736300000000000,120.36269600000000000,特優級,男廁所,公家機關設置供民眾使用者
嘉義市,西　區,垂楊里,I020000463,遠東百貨3F男廁,嘉義市西區垂楊路537號,其他,23.47275500000000000,120.44112000000000000,特優級,男廁所,百貨公司
嘉義市,西　區,垂楊里,I020000459,遠東百貨B1男廁,嘉義市西區垂楊路537號,其他,23.47275500000000000,120.44112000000000000,特優級,男廁所,百貨公司
嘉義市,西　區,文化里,I020000634,交通處男廁,嘉義市西區國華街245號8樓之15,縣市政府,23.47920900000000000,120.44830700000000000,特優級,男廁所,公家機關設置供民眾使用者
嘉義市,西　區,永和里,I020000597,新光三越百貨B1男,嘉義市西區垂楊路726號,其他,23.47344100000000000,120.44105800000000000,特優級,男廁所,百貨公司
臺中市,大肚區,頂街里,B240000098,大肚區環保運動公園-男,臺中市大肚區華山路388號,縣市政府,24.15855000000000000,120.55252700000000000,特優級,男廁所,公園
新竹縣,竹北市,新社里,J010000470,中社加油站女廁,新竹縣竹北市中正西路447號,其他,24.84290100000000000,120.99326200000000000,特優級,女廁所,加油站
新北市,瑞芳區,濂新里,F120000214,水湳洞停車場(女廁),瑞芳區十三城遺址下方,縣市政府,25.12169000000000000,121.86379000000000000,特優級,女廁所,觀光地區及風景區
彰化縣,彰化市,卦山里,N010000210,彰化縣立圖書館B1F,彰化市卦山里中山路2段500號,縣市政府,24.07867800000000000,120.54529800000000000,特優級,混合廁所,各級社教機關
基隆市,中正區,港通里,C010000099,基隆市文化局-靠義一路3樓-男廁,基隆市中正區義一路1號（義一路）,縣市政府,25.13159463953460000,121.74375593662300000,特優級,男廁所,文化育樂活動場所
基隆市,中正區,港通里,C010000052,麥當勞-基隆信一中心-男廁,基隆市信一路177號,其他,25.13076600000000000,121.74472700000000000,特優級,男廁所,餐廳
基隆市,中山區,文化里,C050000063,基隆市中山區公所2樓-男廁,基隆市中山區文化路168號2樓,縣市政府,25.15298606225150000,121.72956705093400000,特優級,男廁所,各級機關學校
新北市,五股區,五股里,F150000143,信誠加油站-男廁,新北市五股區五股里新五路2段258號,縣市政府,25.08153718938460000,121.44083261489900000,優等級,男廁所,加油站
新北市,蘆洲區,得仁里,F140000617,中油中山二路加油站-男廁,新北市蘆洲區中山二路309號,經濟部,25.07728600000000000,121.46896500000000000,特優級,男廁所,加油站
新北市,蘆洲區,玉清里,F140000590,三蘆公園-女廁,新北市蘆洲區永安北路二段76巷1-2號對面,縣市政府,25.08461600000000000,121.48378100000000000,特優級,女廁所,公園
新北市,蘆洲區,水湳里,F140000177,仁愛廣場-男廁,新北市蘆洲區仁愛街76號旁,縣市政府,25.09027260920840000,121.47042810916900000,特優級,男廁所,公園
新北市,蘆洲區,正義里,F140000005,柳堤公園-女廁,新北市蘆洲區光榮路及長樂路交叉路口,縣市政府,25.09376000000000000,121.46119000000000000,特優級,女廁所,公園
新北市,板橋區,廣德里,F010001698,重慶公園-男廁,板橋區重慶路245巷32弄18號(擎天雙星旁),其他,24.99777700000000000,121.46436800000000000,特優級,男廁所,公園
新北市,板橋區,景星里,F010001579,摩斯漢堡板橋館前店-男女廁,板橋區館前東路60號,其他,25.00715400000000000,121.46111200000000000,特優級,混合廁所,餐廳
新北市,板橋區,華江里,F010000636,捷運新埔站-女廁,板橋區民生路2段,其他,25.01565000000000000,121.47278600000000000,特優級,女廁所,捷運車站
新北市,板橋區,幸福里,F010000560,北基新海加油站-男廁,板橋區新海路137號,其他,25.02337100000000000,121.46063100000000000,特優級,男廁所,加油站
新北市,板橋區,中正里,F010000259,435藝文特區右側-男廁,板橋區中正路435巷,縣市政府,25.02337587041590000,121.45413637161300000,特優級,男廁所,文化育樂活動場所
臺中市,北屯區,平德里,B080000440,臺中市中正地政事務所1F(男廁),臺中市北屯區北平路三段36號,縣市政府,24.17106000000000000,120.68045000000000000,特優級,男廁所,公家機關設置供民眾使用者
臺中市,北屯區,后庄里,B080000407,敦化公園(男廁),臺中市北屯區敦化路與后庄七街口,縣市政府,24.18676000000000000,120.66612000000000000,特優級,男廁所,公園
臺中市,北屯區,仁美里,B080000369,仁美國小(男廁),臺中市北屯區崇德路三段568號,縣市政府,24.19143000000000000,120.68634000000000000,特優級,男廁所,各級機關學校
臺中市,北屯區,仁和里,B080000346,北屯區四民衛生所(男廁),臺中市北屯區后庄路1062號,縣市政府,24.19279000000000000,120.68082000000000000,特優級,男廁所,公家機關設置供民眾使用者
嘉義市,東　區,長竹里,I010000382,東園軒男廁,"嘉義市東區大雅路二段350號 ",縣市政府,23.47753100000000000,120.47487300000000000,特優級,男廁所,餐廳
嘉義市,東　區,蘭潭里,I010000368,蘭潭水庫泛月公園旁男廁,嘉義市東區蘭潭水庫泛月公園旁,縣市政府,23.46674000000000000,120.47922100000000000,特優級,男廁所,觀光地區及風景區
嘉義市,東　區,東川里,I010000222,嘉義公園近溜冰場男廁,嘉義市東區嘉義公園內鄰溜冰場,縣市政府,23.48385400000000000,120.46474500000000000,特優級,男廁所,公園
嘉義市,東　區,東興里,I010000697,警察局1F男廁,嘉義市東區中山路195號,縣市政府,23.48128200000000000,120.45463300000000000,特優級,男廁所,公家機關設置供民眾使用者
嘉義市,東　區,東興里,I010000707,市政府7F近中山路男廁,嘉義市東區中山路199號,縣市政府,23.48130500000000000,120.45356600000000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,永和區,保安里,F040000091,仁愛公園保生性別友善公廁,永和區仁愛路244號,縣市政府,25.01136000000000000,121.50772400000000000,特優級,性別友善廁所,公園
花蓮縣,花蓮市,民德里,U010000690,花蓮縣環境教育數位中心(環保局)-4樓女廁,花蓮縣花蓮市中美路68號,縣市政府,23.98389600000000000,121.61976600000000000,特優級,女廁所,公家機關設置供民眾使用者
桃園市,中壢區,仁義里,H020000926,家樂福中原店3F(A1區)女廁,中壢區中華路二段501號,縣市政府,24.96249200000000000,121.23204500000000000,特優級,女廁所,量販店
桃園市,中壢區,仁義里,H020000923,家樂福中原店2F女廁,中壢區中華路二段501號,縣市政府,24.96249200000000000,121.23204500000000000,特優級,女廁所,量販店
